88 1117
63 41 2
63 47 2
63 48 2
63 49 3
63 51 2
63 4 3
63 54 2
63 55 2
63 56 2
63 57 2
63 58 2
63 59 3
63 5 2
63 62 3
63 64 3
63 66 2
63 68 3
63 69 1
63 6 3
63 72 2
63 73 1
63 74 2
63 75 2
63 76 2
63 77 2
63 78 2
63 79 2
63 80 2
63 81 3
63 82 2
63 8 1
64 15 2
64 21 3
64 26 1
64 27 1
64 32 2
64 38 3
64 49 1
64 59 1
64 63 3
64 6 1
64 81 1
65 6 1
66 15 3
66 21 2
66 2 2
66 36 3
66 38 2
66 54 1
66 5 3
66 63 2
66 69 2
66 72 1
66 73 2
66 77 1
67 15 2
67 21 3
67 26 1
67 27 1
67 59 1
67 6 1
67 81 1
68 15 2
68 21 3
68 26 1
68 32 2
68 38 3
68 49 1
68 4 1
68 59 1
68 63 3
68 6 1
68 80 2
68 81 1
69 15 3
69 21 1
69 38 1
69 41 2
69 54 2
69 63 1
69 66 2
69 75 2
69 78 2
70 4 1
70 59 1
71 15 2
71 59 1
71 6 1
71 81 1
72 12 1
72 15 3
72 21 2
72 38 2
72 41 1
72 57 1
72 58 1
72 63 2
72 66 1
72 75 1
72 78 1
73 15 2
73 21 1
73 38 1
73 41 2
73 54 2
73 63 1
73 66 2
73 6 3
73 78 2
74 15 1
74 19 1
74 21 2
74 24 2
74 30 1
74 32 1
74 38 2
74 41 3
74 49 2
74 4 2
74 59 2
74 63 2
74 6 2
74 75 2
74 80 1
74 81 2
75 15 3
75 21 2
75 2 2
75 32 3
75 36 3
75 38 2
75 49 4
75 54 1
75 5 3
75 63 2
75 69 2
75 72 1
75 6 4
75 74 3
75 76 1
75 80 3
75 83 2
76 15 3
76 21 2
76 38 2
76 41 1
76 47 3
76 4 4
76 58 1
76 63 2
76 75 1
77 12 1
77 15 3
77 21 2
77 38 2
77 41 1
77 57 1
77 58 1
77 5 3
77 63 2
77 66 1
77 75 1
77 78 1
78 15 3
78 21 2
78 2 2
78 32 3
78 36 3
78 38 2
78 47 3
78 49 4
78 54 1
78 63 2
78 69 2
78 72 1
78 6 4
78 73 21
78 77 1
78 80 3
79 15 2
79 21 2
79 38 2
79 54 1
79 63 2
80 9 2
80 15 1
80 17 2
80 19 1
80 21 2
80 23 2
80 26 2
80 27 2
80 28 2
80 32 1
80 36 1
80 38 2
80 39 1
80 41 3
80 42 2
80 47 1
80 48 1
80 49 2
80 50 2
80 4 2
80 51 1
80 52 2
80 55 1
80 56 1
80 59 2
80 60 2
80 62 2
80 63 2
80 68 2
80 6 2
80 75 3
80 78 3
80 7 2
80 81 2
80 82 2
80 85 2
81 0 1
81 11 1
81 15 2
81 17 1
81 1 1
81 20 1
81 21 3
81 25 1
81 28 1
81 31 1
81 32 2
81 36 2
81 38 3
81 40 1
81 42 1
81 44 1
81 47 2
81 49 1
81 4 1
81 51 2
81 53 1
81 5 2
81 62 1
81 63 3
81 64 1
81 67 1
81 68 1
81 6 1
81 71 1
81 74 2
81 7 1
81 80 2
82 15 1
82 19 1
82 21 2
82 32 1
82 38 2
82 63 2
82 80 1
83 15 2
83 21 1
83 2 1
83 38 1
83 41 2
83 75 1
84 15 2
84 21 3
85 27 1
85 47 2
85 4 1
85 59 1
85 5 2
85 80 2
86 40 1
86 4 1
86 62 1
86 6 1
87 15 1
87 19 1
87 38 2
87 4 2
